symbol,total_trades,winning_trades,losing_trades,hit_rate,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,win_loss_ratio,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,avg_holding_days,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,trades,market_cap_cr,sector,industry,pe_ratio,pb_ratio,debt_to_equity,roe
SURAJEST.NS,2,1,1,50.0,10.4,-22.95,10.4,-22.95,0.45,0.45,-6.28,9.79,-14.24,0.69,40.5,-0.38,-inf,22.95,-15.99,-28.55,-14.93,13.62,"[{'entry_time': datetime.date(2024, 11, 29), 'entry_price': 654.1500244140625, 'exit_time': datetime.date(2025, 1, 21), 'exit_price': 504.0, 'max_gain_pct': 4.035765863121891, 'max_loss_pct': -22.953453918855296, 'shares': 1, 'profit_pct': -22.953453918855296, 'holding_days': 53}, {'entry_time': datetime.date(2025, 5, 2), 'entry_price': 290.79998779296875, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(321.04998779296875), 'max_gain_pct': 15.54333359849066, 'max_loss_pct': -5.536443006111702, 'shares': 1, 'profit_pct': np.float64(10.40233881355459), 'holding_days': 28}]",1533.5261184,Real Estate,Real Estate - Development,16.28615,2.4107423,78.69,0.0
RATEGAIN.NS,1,0,1,0.0,0.0,-10.4,0.0,-10.4,0.0,0.0,-10.4,6.08,-10.4,0.58,10.0,0.0,-inf,10.4,-3.63,56.1,-10.4,-66.5,"[{'entry_time': datetime.date(2025, 5, 20), 'entry_price': 495.29998779296875, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(443.79998779296875), 'max_gain_pct': 6.077132518257867, 'max_loss_pct': -10.397739000455331, 'shares': 1, 'profit_pct': np.float64(-10.397739000455331), 'holding_days': 10}]",5238.5783808,Technology,Software - Application,25.070583,3.1100714,0.954,0.13337
APOLLOTYRE.NS,5,3,2,60.0,46.81,-4.24,118.6,-5.91,11.04,16.56,26.39,40.93,-1.89,21.64,191.2,0.57,15.84,5.91,22.03,184.4,146.52,-37.88,"[{'entry_time': datetime.date(2025, 4, 4), 'entry_price': 407.95001220703125, 'exit_time': datetime.date(2025, 4, 7), 'exit_price': 397.45001220703125, 'max_gain_pct': 0, 'max_loss_pct': -2.5738447569089264, 'shares': 1, 'profit_pct': -2.5738447569089264, 'holding_days': 3}, {'entry_time': datetime.date(2025, 4, 11), 'entry_price': 427.75, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(470.54998779296875), 'max_gain_pct': 15.756865902158825, 'max_loss_pct': 0, 'shares': 1, 'profit_pct': np.float64(10.005841681582408), 'holding_days': 49}]",29903.7097984,Consumer Cyclical,Auto Parts,26.657225,2.0215604,29.869,0.07823
CAMPUS.NS,5,1,4,20.0,21.77,-11.88,21.77,-16.9,1.83,0.46,-5.15,14.75,-11.94,1.23,137.2,-0.37,-1.16,39.99,-11.42,-47.7,-26.92,20.78,"[{'entry_time': datetime.date(2023, 11, 30), 'entry_price': 274.43292236328125, 'exit_time': datetime.date(2024, 3, 18), 'exit_price': 228.05410766601562, 'max_gain_pct': 7.286943579722835, 'max_loss_pct': -19.78920376691193, 'shares': 1, 'profit_pct': -16.89987276230348, 'holding_days': 109}, {'entry_time': datetime.date(2024, 4, 18), 'entry_price': 239.52413940429688, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(291.67999267578125), 'max_gain_pct': 52.88362049030372, 'max_loss_pct': -5.228758752852532, 'shares': 1, 'profit_pct': np.float64(21.77477952794128), 'holding_days': 407}]",8826.3081984,Consumer Cyclical,Footwear & Accessories,72.79849,11.637206,30.703,0.17211
WIPRO.NS,6,2,4,33.33,13.39,-8.91,25.93,-16.2,1.5,0.75,-1.47,14.01,-7.23,1.94,157.33,-0.11,-0.25,26.09,-3.09,46.93,-13.25,-60.18,"[{'entry_time': datetime.date(2024, 8, 19), 'entry_price': 254.81167602539062, 'exit_time': datetime.date(2025, 4, 9), 'exit_price': 236.64999389648438, 'max_gain_pct': 25.210113119454196, 'max_loss_pct': -7.127492119747501, 'shares': 1, 'profit_pct': -7.127492119747501, 'holding_days': 233}, {'entry_time': datetime.date(2025, 5, 21), 'entry_price': 250.9199981689453, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(249.6699981689453), 'max_gain_pct': 0, 'max_loss_pct': -1.9846946293160794, 'shares': 1, 'profit_pct': np.float64(-0.4981667500086504), 'holding_days': 9}]",261346.164736,Technology,Information Technology Services,19.952038,3.1520724,23.124,0.16714
GPTHEALTH.NS,1,0,1,0.0,0.0,-11.44,0.0,-11.44,0.0,0.0,-11.44,0.0,-14.04,0.0,52.0,0.0,-inf,11.44,-14.9,-17.52,-11.44,6.08,"[{'entry_time': datetime.date(2025, 4, 8), 'entry_price': 171.74000549316406, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(152.08999633789062), 'max_gain_pct': 0, 'max_loss_pct': -14.044491443163857, 'shares': 1, 'profit_pct': np.float64(-11.441719184092833), 'holding_days': 52}]",1255.4384384,Healthcare,Medical Care Facilities,25.164474,5.068239,14.241,0.2141
PPAP.NS,4,2,2,50.0,9.28,-10.45,14.6,-17.94,0.89,0.89,-0.58,29.64,-17.03,1.74,348.5,-0.05,-0.08,20.36,-1.15,-8.28,-5.12,3.16,"[{'entry_time': datetime.date(2023, 4, 25), 'entry_price': 182.0441436767578, 'exit_time': datetime.date(2024, 3, 20), 'exit_price': 176.67822265625, 'max_gain_pct': 49.34064907050827, 'max_loss_pct': -10.734620544330072, 'shares': 1, 'profit_pct': -2.9475933211208805, 'holding_days': 330}, {'entry_time': datetime.date(2024, 4, 9), 'entry_price': 206.34713745117188, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(236.47000122070312), 'max_gain_pct': 14.714461095870599, 'max_loss_pct': -21.937370287401635, 'shares': 1, 'profit_pct': np.float64(14.598149575328737), 'holding_days': 416}]",333.145728,Consumer Cyclical,Auto Parts,47.874493,1.1544807,0.0,0.024519999
SUPERSPIN.NS,3,2,1,66.67,6.24,-21.29,10.09,-21.29,0.29,0.59,-2.93,38.47,-19.95,1.93,316.0,-0.22,-inf,21.29,-2.6,179.72,-11.27,-190.99,"[{'entry_time': datetime.date(2023, 11, 8), 'entry_price': 8.350000381469727, 'exit_time': datetime.date(2024, 3, 4), 'exit_price': 8.550000190734863, 'max_gain_pct': 17.96407103559889, 'max_loss_pct': -2.9940118392664816, 'shares': 1, 'profit_pct': 2.39520718716343, 'holding_days': 117}, {'entry_time': datetime.date(2024, 6, 18), 'entry_price': 9.020000457763672, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(9.930000305175781), 'max_gain_pct': 76.16407468855452, 'max_loss_pct': -12.305992838350308, 'shares': 1, 'profit_pct': np.float64(10.088689592347599), 'holding_days': 346}]",55.2193856,Consumer Cyclical,Textile Manufacturing,0,0.98804784,38.898,-0.03576
ZYDUSLIFE.NS,5,2,3,40.0,92.22,-10.45,184.33,-14.85,8.83,5.88,30.62,54.65,-10.52,5.2,236.8,0.4,8.2,24.03,17.02,123.94,103.88,-20.06,"[{'entry_time': datetime.date(2022, 4, 12), 'entry_price': 353.10821533203125, 'exit_time': datetime.date(2024, 11, 1), 'exit_price': 1004.0, 'max_gain_pct': 268.413978471391, 'max_loss_pct': -9.150963861148682, 'shares': 1, 'profit_pct': 184.33209888813508, 'holding_days': 934}, {'entry_time': datetime.date(2024, 12, 11), 'entry_price': 986.4500122070312, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(930.0), 'max_gain_pct': 2.438034111749928, 'max_loss_pct': -16.660756712181048, 'shares': 1, 'profit_pct': np.float64(-5.722541589384035), 'holding_days': 170}]",93181.9290624,Healthcare,Drug Manufacturers - Specialty & Generic,20.574318,3.8890219,12.19,0.19284001
PAKKA.NS,1,1,0,100.0,10.58,0.0,10.58,0.0,inf,inf,10.58,12.01,0.0,inf,21.0,0.0,0.0,0.0,7.42,-26.0,10.58,36.58,"[{'entry_time': datetime.date(2025, 5, 9), 'entry_price': 161.0500030517578, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(178.08999633789062), 'max_gain_pct': 12.014896291872727, 'max_loss_pct': 0, 'shares': 1, 'profit_pct': np.float64(10.58056067261082), 'holding_days': 21}]",799.6670976,Basic Materials,Paper & Paper Products,18.15951,2.2789683,52.836,0.0
